gay/lesbian,gender,prej1,prej2,prej3,prej4,prej5,prej6,prej7,prej8,prej9,prej10,age,maritalstatus,religion,socialstatus,sexuality,sexualinvo,attraction,prejtotal
1,1,1,1,1,2,3,1,1,1,1,2,20,2,4,4,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,27,1,4,3,1,2,1,1
1,1,1,3,1,2,4,1,1,1,3,1,29,1,1,3,1,2,2,2
1,1,1,1,1,2,1,1,1,1,1,2,66,2,4,3,1,2,1,1
1,1,2,2,3,4,4,3,2,3,4,2,26,1,4,2,1,2,1,3
1,1,1,1,2,2,4,1,1,1,1,1,23,2,2,4,1,2,1,2
1,1,1,4,1,3,4,3,1,1,2,1,23,1,2,3,1,2,1,2
1,1,2,4,1,3,4,3,1,1,2,4,24,1,2,2,1,2,,3
1,1,1,1,1,1,1,1,1,2,1,3,19,1,4,4,1,2,1,1
1,1,1,3,2,3,3,3,2,2,3,4,23,1,1,3,1,2,1,3
1,1,3,1,1,1,1,1,1,1,1,1,21,1,5,3,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,24,1,4,3,1,1,2,1
1,1,1,1,1,1,2,3,1,1,3,1,20,1,1,3,1,2,2,2
1,1,3,3,3,2,3,3,3,3,2,2,26,2,1,2,1,2,1,3
1,1,2,1,2,1,5,1,1,1,2,2,20,1,4,2,1,1,1,2
1,1,1,3,1,3,5,1,1,1,1,3,23,1,2,3,1,2,1,2
1,1,3,2,3,3,5,3,3,3,4,2,21,1,2,4,1,2,1,3
1,1,1,1,1,1,1,1,1,1,1,1,19,1,3,2,1,1,,1
1,1,3,4,2,3,4,4,1,3,3,2,21,1,5,3,1,2,1,3
1,1,1,1,1,3,1,1,1,1,1,1,26,1,4,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,3,1,2,1,1
1,1,1,2,3,1,3,2,1,1,2,4,26,1,3,4,1,2,1,2
1,0,1,1,1,1,1,1,1,1,1,1,37,2,3,3,1,2,1,1
1,1,1,2,1,1,1,1,1,1,1,1,24,1,1,2,1,2,1,1
1,1,3,3,3,3,3,3,3,3,3,3,26,1,1,1,1,2,1,3
1,0,1,1,1,1,1,1,1,1,1,1,20,1,1,2,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,22,1,5,2,1,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,30,1,2,2,1,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,2,1,2,1,1
1,1,1,1,1,2,1,1,1,1,1,1,20,1,1,2,1,2,1,1
1,1,1,1,1,2,2,1,1,1,2,2,25,1,1,3,1,2,1,1
0,0,1,1,1,1,1,1,1,1,1,1,24,1,2,3,2,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,24,1,4,3,2,1,7,1
0,0,1,3,1,1,4,2,1,1,1,2,21,4,1,3,2,2,,2
0,0,1,1,1,1,1,1,1,1,1,1,23,1,4,3,2,1,7,1
0,1,1,1,1,2,1,1,1,2,1,4,23,1,4,1,2,1,6,2
0,0,1,1,1,1,3,1,1,1,1,1,40,4,3,3,2,1,7,1
0,1,1,1,1,1,3,2,1,1,1,1,23,1,1,3,2,1,7,1
1,0,1,1,1,1,1,1,1,1,1,1,21,4,4,2,2,1,7,1
1,0,1,1,1,1,1,1,1,1,1,1,20,1,4,2,2,1,7,1
1,1,3,3,3,3,3,3,3,3,3,3,19,1,4,2,2,1,7,3
1,0,1,1,1,1,1,1,1,1,1,1,21,1,5,3,2,1,7,1
1,1,3,3,3,3,3,3,3,3,3,3,26,1,4,1,2,1,7,3
1,1,1,1,1,1,1,1,1,1,1,1,21,1,4,4,2,1,7,1
1,1,1,1,1,1,1,1,1,1,2,1,20,1,4,3,2,1,7,1
